RSA,NOTAM,REMARK,MNM FL,MAX FL,WEF,UNT,FUA/EU RS,FIR,UIR
EPTR11BZ,,,095,245,11:30,14:00,"EPTR11BZRA, EPTR11BZRB, EPTR11BZRC",,
EPTR11CZ,,,095,245,11:30,14:00,"EPTR11CZRA, EPTR11CZRC, EPTR11CZRB",,
EPTR11DZ,,,095,245,11:30,14:00,"EPTR11DZRA, EPTR11DZRB",,
EPTR11EZ,,,095,245,11:30,14:00,"EPTR11EZRA, EPTR11EZRB",,
EPTR120A,,,000,045,11:30,06:00,,,
EPTR120B,,,000,045,11:30,06:00,,,
EPTR121,,,000,045,11:30,06:00,,,
EPTR122,,,000,045,11:30,06:00,,,
EPTR123,,,000,045,11:30,06:00,,,
EPTR124,,,000,050,11:30,06:00,,,
EPTR125,,,000,050,11:30,06:00,,,
EPTR126,,,000,050,11:30,06:00,,,
EPTR127,,,000,050,11:30,06:00,,,
EPTR128,,,000,055,11:30,06:00,,,
EPTR129A,,,000,070,11:30,06:00,,,
EPTR129B,,,000,070,11:30,06:00,,,
EPTR130A,,,000,065,11:30,06:00,,,
EPTR130B,,,000,065,11:30,06:00,,,
EPTR181A,,,000,045,11:30,22:00,,,
EPTR181B,,,000,045,11:30,22:00,,,
EPTR181C,,,000,045,11:30,22:00,,,
EPTR181D,,,000,045,11:30,22:00,,,
EPTR182A,,,000,020,11:30,14:30,,,
EPTR182B,,,000,020,11:30,14:30,,,
EPTR22A,,,035,075,11:30,16:00,EPTR22AR,,
EPTR22B,,,000,015,11:30,16:00,,,
EPTR22C,,,000,045,11:30,16:00,,,
EPTR22D,,,000,045,11:30,16:00,,,
EPTR22E,,,000,015,11:30,16:00,,,
EPTR23A,,,020,055,11:30,16:00,,,
EPTR23B,,,000,055,11:30,16:00,,,
EPTR23C,,,000,055,11:30,16:00,,,
EPTR23D,,,000,055,11:30,16:00,,,
EPTR23E,,,000,055,11:30,16:00,,,
EPTR24A,,,020,055,11:30,14:00,EPTR24ARA,,
EPTR25,,,000,050,11:30,21:00,,,
EPTR26A,,,035,095,11:30,15:00,,,
EPTR399Z,,,095,125,11:30,06:00,"EUTR399ZRB, EUTR399ZRA",,
EPTR44A,,,015,035,11:30,14:30,,,
EPTR44B,,,015,035,11:30,14:30,,,
EPTR53AZ,,,095,445,11:30,16:10,EPTR53AZR,,
EPTR53BZ,,,145,445,15:00,16:10,EPTR53BZR,,
EPTR53BZ,,,145,445,11:30,12:00,EPTR53BZR,,
EPTR53BZ,,,145,445,13:00,14:00,EPTR53BZR,,
EPTR54AZ,,,095,660,14:00,15:00,EPTR54AZR,,
EPTR54AZ,,,095,660,12:00,13:00,EPTR54AZR,,
EPTR54B,,,025,095,14:00,15:00,,,
EPTR54B,,,025,095,12:00,13:00,,,
EPTR54BZ,,,095,195,14:00,15:00,EPTR54BZR,,
EPTR54BZ,,,095,195,12:00,13:00,EPTR54BZR,,
EPTR69A,,,035,245,11:30,14:00,,,
EPTR69B,,,000,095,11:30,14:00,EPTR69BR,,
EPTR69BZ,,,095,245,11:30,14:00,EPTR69BZR,,
EPTR69C,,,000,095,11:30,14:00,EPTR69CR,,
EPTR69CZ,,,095,245,11:30,14:00,EPTR69CZR,,
EPTR69D,,,000,095,11:30,14:30,EPTR69DR,,
EPTR69DZ,,,095,245,11:30,14:00,EPTR69DZR,,
EPTR69DZ,,,095,135,14:00,14:30,EPTR69DZR,,
EPTR69E,,,000,095,11:30,14:30,EPTR69ER,,
EPTR69EZ,,,095,245,11:30,14:00,EPTR69EZR,,
EPTR69EZ,,,095,135,14:00,14:30,EPTR69EZR,,
EPTR69FZ,,,095,245,11:30,14:00,EPTR69FZR,,
EPTR70A,,,020,045,11:30,06:00,EPTR70AR,,
EPTR70B,,,020,035,11:30,06:00,EPTR70BR,,
EPTR84,,,115,285,11:30,06:00,,,
EPTR85,,,115,285,11:30,06:00,,,
EPTR86,,,175,285,11:30,06:00,,,
EPTR87,,,175,285,11:30,06:00,,,
EPTR88,,,175,285,11:30,06:00,,,
EPTR89,,,175,285,11:30,06:00,,,
EPTR90,,,175,285,11:30,06:00,,,
EPTR91,,,175,285,11:30,06:00,,,
EPTR92,,,175,285,11:30,06:00,,,
EPTR93,,,175,285,11:30,06:00,,,
EPTR94,,,175,285,11:30,06:00,,,
EPTS02AZ,,,115,285,12:00,14:00,"EPTS02AZRB, EPTS02AZRC, EPTS02AZRE, EPTS02AZRD, EPTS02AZRA",,
EPTS02AZ,,,115,285,11:30,12:00,"EPTS02AZRB, EPTS02AZRC, EPTS02AZRE, EPTS02AZRD, EPTS02AZRA",,
EPTS02B,,,035,095,12:00,14:00,"EPTS02BRA, EPTS02BRF, EPTS02BRC, EPTS02BRD, EPTS02BRE",,
EPTS02B,,,035,095,14:00,15:00,"EPTS02BRA, EPTS02BRF, EPTS02BRC, EPTS02BRD, EPTS02BRE",,
EPTS02B,,,035,095,11:30,12:00,"EPTS02BRA, EPTS02BRF, EPTS02BRC, EPTS02BRD, EPTS02BRE",,
EPTS02BZ,,,095,405,12:00,14:00,"EPTS02BZRD, EPTS02BZRE, EPTS02BZRA, EPTS02BZRC, EPTS02BZRB",,
EPTS02BZ,,,095,345,14:00,15:00,"EPTS02BZRA, EPTS02BZRC, EPTS02BZRB, EPTS02BZRD, EPTS02BZRE",,
EPTS02BZ,,,095,660,11:30,12:00,"EPTS02BZRA, EPTS02BZRC, EPTS02BZRB, EPTS02BZRD, EPTS02BZRE",,
EPTS02CZ,,,115,345,14:00,15:00,"EPTS02CZRE, EPTS02CZRA, EPTS02CZRB, EPTS02CZRC, EPTS02CZRD",,
EPTS02CZ,,,115,405,12:00,14:00,"EPTS02CZRE, EPTS02CZRA, EPTS02CZRB, EPTS02CZRC, EPTS02CZRD",,
EPTS02CZ,,,115,660,11:30,12:00,"EPTS02CZRE, EPTS02CZRA, EPTS02CZRB, EPTS02CZRC, EPTS02CZRD",,
EPTS02D,,,035,095,14:00,15:00,EPTS02DR,,
EPTS02D,,,035,095,11:30,14:00,EPTS02DR,,
EPTS02DZ,,,095,345,14:00,15:00,EPTS02DZR,,
EPTS02DZ,,,095,345,11:30,14:00,EPTS02DZR,,
EPTS02E,,,025,095,11:30,15:00,EPTS02ER,,
EPTS02EZ,,,095,195,11:30,15:00,EPTS02EZR,,
EPTS02F,,,025,095,11:30,15:00,EPTS02FRA,,
EPTS02FZ,,,095,195,11:30,15:00,EPTS02FZR,,
EPTS03AZ,,,135,245,11:30,15:00,EPTS03AZR,,
EPTS03BZ,,,135,245,12:30,14:30,"EPTS03BZRD, EPTS03BZRA, EPTS03BZRB, EPTS03BZRC, EPTS03BZRE",,
EPTS03BZ,,,135,285,14:30,15:00,"EPTS03BZRE, EPTS03BZRD, EPTS03BZRA, EPTS03BZRB, EPTS03BZRC",,
EPTS03BZ,,,135,285,11:30,12:30,"EPTS03BZRE, EPTS03BZRD, EPTS03BZRA, EPTS03BZRB, EPTS03BZRC",,
EPTS03CZ,,,135,315,14:30,15:00,EPTS03CZR,,
EPTS03CZ,,,135,315,11:30,12:30,EPTS03CZR,,
EPTS03CZ,,,135,245,12:30,14:30,EPTS03CZR,,
EPTS03DZ,,,095,315,14:30,15:00,"EPTS03DZRD, EPTS03DZRA, EPTS03DZRE, EPTS03DZRB, EPTS03DZRC",,
EPTS03DZ,,,095,245,12:30,14:30,"EPTS03DZRD, EPTS03DZRA, EPTS03DZRE, EPTS03DZRB, EPTS03DZRC",,
EPTS03DZ,,,095,315,11:30,12:30,"EPTS03DZRD, EPTS03DZRA, EPTS03DZRE, EPTS03DZRB, EPTS03DZRC",,
EPTS03EZ,,,095,245,11:30,15:00,"EPTS03EZRB, EPTS03EZRA, EPTS03EZRC",,
EPTS03FZ,,,095,245,11:30,15:00,EPTS03FZR,,
EPTS03G,,,065,095,11:30,15:00,EPTS03GR,,
EPTS03GZ,,,095,115,11:30,15:00,EPTS03GZR,,
EPTS06A,,,025,095,11:30,14:00,EPTS06ARA,,
EPTS06AZ,,,095,285,11:30,14:00,"EPTS06AZRA, EPTS06AZRB",,
EPTS06B,,,025,095,11:30,14:00,EPTS06BRA,,
EPTS06BZ,,,095,285,11:30,14:00,EPTS06BZR,,
EPTS06C,,,035,095,11:30,14:00,EPTS06CR,,
EPTS06CZ,,,095,285,11:30,14:00,"EPTS06CZRB, EPTS06CZRA",,
EPTS06FZ,,,095,285,11:30,14:00,EPTS06FZR,,
EPTS07A,,,035,095,11:30,14:00,EPTS07ARA,,
EPTS07AZ,,,095,245,11:30,14:00,EPTS07AZRA,,
EPTS07B,,,035,095,11:30,14:00,EPTS07BRA,,
EPTS07BZ,,,095,245,11:30,14:00,EPTS07BZR,,
EPTS07C,,,035,095,11:30,14:00,EPTS07CRA,,
EPTS07CZ,,,095,245,11:30,14:00,EPTS07CZR,,
EPTS07D,,,055,095,11:30,14:00,EPTS07DRA,,
EPTS07DZ,,,095,195,11:30,14:00,EPTS07DZRA,,
EPTS07E,,,055,095,11:30,14:00,EPTS07ERA,,
EPTS07EZ,,,095,245,11:30,14:00,EPTS07EZR,,
EPTS22Z,,,235,275,11:30,19:00,"EPTS22ZRC, EPTS22ZRD, EPTS22ZRA, EPTS22ZRB, EPTS22ZRE",,
EPTS26Z,,,235,275,11:30,19:00,"EPTS26ZRA, EPTS26ZRB",,
EPTS28Z,,,205,245,11:30,19:00,"EPTS28ZRB, EPTS28ZRA",,
EPTS29Z,,,205,245,11:30,19:00,EPTS29ZR,,
ESDARK,,,095,370,11:30,14:30,EUESDARKR,ESAA,
ESDBYX,,,095,370,11:30,14:30,EUESDBYXR,ESAA,
ESDVAS,,,095,370,11:30,14:30,EUESDVASR,ESAA,
EUC25FC,,,115,195,12:15,13:15,,,
EUC25FE,,,115,195,12:15,13:15,,,
EUC25FW,,,065,195,12:15,13:15,,,
EVR15,,,000,025,11:30,06:00,,EVRR,
EVR25,,,000,025,16:00,21:00,,"EVRR, EYVL",
EVR27,,,000,025,16:00,21:00,,"EETT, EVRR",
EVR5,,,000,170,11:30,06:00,EVR5R,EVRR,
EVR6,,,000,015,11:30,06:00,,,
EVTRA3,,,010,060,11:30,15:50,,EVRR,
EYD12,,,000,155,11:30,06:00,EYD12R,,
